정보공시 학교코드,시도교육청,교육지원청,지역,학교명,설립구분,점검영역_총개수,미관리_영역수,관리_영역수,최근점검일,평균점검일,점검경과일_평균,점검경과일_최근,학교급,환경_부적합_수,환경_미실시_수,환경_위험항목_수,학생수,환경위험_log,미관리_norm,환경위험_norm,경과일_norm,위험도_점수,위험군,우선순위_점수,지역분류
S140001162,전라남도교육청,전라남도순천교육지원청,전라남도 순천시,황전초등학교,공립,6,1,5,2025-02-19,2024-12-17 19:12:00.000000,195.0,132.0,초,0.0,8.0,8.0,36.0,2.1972245773362196,0.2,0.5806327879665873,0.19780219780219788,32.523519365534746,고위험,83.52695850729263,시(중소도시)
S090007524,경기도교육청,경기도평택교육지원청,경기도 평택시,배다리초등학교,공립,6,0,6,2025-02-27,2025-01-29 12:00:00.000000,152.0,124.0,초,0.0,11.0,11.0,423.0,2.4849066497880004,0.0,0.6566548958105609,0.07967032967032966,23.024007166144116,고위험,83.51649747641757,시(중소도시)
S090000763,경기도교육청,경기도이천교육지원청,경기도 이천시,이천양정여자고등학교,사립,6,0,6,2025-02-25,2025-01-09 20:00:00.000000,172.0,126.0,고,0.0,8.0,8.0,781.0,2.1972245773362196,0.0,0.5806327879665873,0.13461538461538464,21.44934354135892,고위험,83.50672912391919,시(중소도시)
S090003898,경기도교육청,경기도파주교육지원청,경기도 파주시,영도초등학교,공립,6,1,5,2025-02-18,2025-01-15 04:48:00.000000,166.0,133.0,초,0.0,9.0,9.0,39.0,2.302585092994046,0.2,0.6084750807294722,0.11813186813186816,32.08791942231434,고위험,83.49469133375962,시(중소도시)
S020001018,부산광역시교육청,부산광역시남부교육지원청,부산광역시 부산진구,양동초등학교,공립,6,0,6,2025-02-28,2025-02-28 00:00:00.000000,123.0,123.0,초,0.0,10.0,10.0,982.0,2.3978952727983707,0.0,0.6336614981727328,0.0,20.910829439700183,고위험,83.48760564026274,구(대도시)
S040000654,인천광역시교육청,인천광역시동부교육지원청,인천광역시 남동구,인천만수북초등학교,공립,6,0,6,2025-02-04,2024-11-10 20:00:00.000000,232.0,147.0,초,0.0,6.0,6.0,607.0,1.9459101490553132,0.0,0.5142210981219936,0.2994505494505495,22.05995557868513,고위험,83.4727448727842,구(대도시)
S160000513,경상남도교육청,경상남도교육청,경상남도 김해시,김해여자고등학교,공립,6,0,6,2025-02-25,2024-12-28 12:00:00.000000,184.0,126.0,고,0.0,8.0,8.0,616.0,2.1972245773362196,0.0,0.5806327879665873,0.16758241758241765,22.009783101798483,고위험,83.42335435433633,시(중소도시)
S090001992,경기도교육청,경기도부천교육지원청,경기도 부천시 원미구,상지초등학교,공립,6,1,5,2025-02-28,2025-02-07 19:12:00.000000,143.0,123.0,초,0.0,4.0,4.0,217.0,1.6094379124341003,0.2,0.42530582981583853,0.05494505494505497,24.969158317988608,고위험,83.3584487265305,구(대도시)
S010000444,서울특별시교육청,서울특별시교육청,서울특별시 종로구,배화여자고등학교,사립,6,1,5,2025-02-28,2025-02-13 00:00:00.000000,138.0,123.0,고,0.0,3.0,3.0,453.0,1.3862943611198906,0.2,0.36633850182726724,0.04120879120879123,22.789720010849273,고위험,83.343278950651,구(대도시)
S040000618,인천광역시교육청,인천광역시동부교육지원청,인천광역시 남동구,남동중학교,공립,6,0,6,2025-02-28,2025-02-17 04:00:00.000000,133.0,123.0,중,0.0,10.0,10.0,788.0,2.3978952727983707,0.0,0.6336614981727328,0.027472527472527486,21.37786240673315,고위험,83.31117596305495,구(대도시)
S150003656,경상북도교육청,경상북도포항교육지원청,경상북도 포항시 북구,포항중앙초등학교,공립,6,0,6,2025-02-25,2025-02-10 12:00:00.000000,140.0,126.0,초,0.0,9.0,9.0,977.0,2.302585092994046,0.0,0.6084750807294722,0.046703296703296704,20.873633708028628,고위험,83.29287162575083,구(대도시)
S130000571,전북특별자치도교육청,전북특별자치도군산교육지원청,전북특별자치도 군산시,개정초등학교,공립,6,1,5,2025-02-27,2025-02-14 04:48:00.000000,136.0,124.0,초,0.0,7.0,7.0,78.0,2.0794415416798357,0.2,0.5495077527409008,0.0357142857142857,28.74089869759258,고위험,83.28040669417842,군(농촌)
S020000551,부산광역시교육청,부산광역시교육청,부산광역시 해운대구,부산해군과학기술고등학교,공립,6,0,6,2025-02-28,2024-12-12 20:00:00.000000,200.0,123.0,고,0.0,9.0,9.0,328.0,2.302585092994046,0.0,0.6084750807294722,0.21153846153846156,23.67583151022643,고위험,83.27253746832315,구(대도시)
S120000238,충청남도교육청,충청남도교육청,충청남도 천안시 동남구,천안고등학교,사립,6,0,6,2024-12-31,2024-12-12 00:00:00.000000,201.0,182.0,고,0.0,6.0,6.0,1093.0,1.9459101490553132,0.0,0.5142210981219936,0.2142857142857143,20.61215338088293,고위험,83.25284454905368,구(대도시)
S140000849,전라남도교육청,전라남도목포교육지원청,전라남도 목포시,목포동초등학교,공립,6,0,6,2025-02-28,2024-12-10 00:00:00.000000,203.0,123.0,초,0.0,9.0,9.0,312.0,2.302585092994046,0.0,0.6084750807294722,0.21978021978021978,23.81594140033632,고위험,83.24967910528366,시(중소도시)
S010001605,서울특별시교육청,서울특별시동작관악교육지원청,서울특별시 관악구,서울원당초등학교,공립,6,1,5,2024-12-30,2024-11-11 04:48:00.000000,231.0,183.0,초,0.0,3.0,3.0,116.0,1.3862943611198906,0.2,0.36633850182726724,0.29670329670329676,27.133126604255864,고위험,83.24947543214648,구(대도시)
S150003663,경상북도교육청,경상북도포항교육지원청,경상북도 포항시 북구,흥해서부초등학교,공립,6,0,6,2025-02-18,2025-01-25 16:00:00.000000,156.0,133.0,초,0.0,19.0,19.0,101.0,2.995732273553991,0.0,0.7916443316431058,0.09065934065934067,27.665471735431286,고위험,83.23434301509305,구(대도시)
S040000777,인천광역시교육청,인천광역시북부교육지원청,인천광역시 부평구,부평서여자중학교,공립,6,0,6,2024-12-19,2024-11-16 00:00:00.000000,227.0,194.0,중,0.0,8.0,8.0,291.0,2.1972245773362196,0.0,0.5806327879665873,0.2857142857142857,24.018024860040242,고위험,83.23165147564525,구(대도시)
S090000471,경기도교육청,경기도안산교육지원청,경기도 안산시 단원구,고잔고등학교,공립,6,0,6,2025-02-27,2025-02-22 12:00:00.000000,128.0,124.0,고,0.0,10.0,10.0,862.0,2.3978952727983707,0.0,0.6336614981727328,0.013736263736263743,21.144345923216665,고위험,83.22437382211768,구(대도시)
S040000414,인천광역시교육청,인천광역시남부교육지원청,인천광역시 중구,광성중학교,사립,6,1,5,2025-02-28,2025-01-21 14:24:00.000000,160.0,123.0,중,0.0,3.0,3.0,311.0,1.3862943611198906,0.2,0.36633850182726724,0.10164835164835168,23.817192538321798,고위험,83.22095272439888,구(대도시)
S030000330,대구광역시교육청,대구광역시교육청,대구광역시 달성군,심인고등학교,사립,6,0,6,2025-02-26,2025-01-22 16:00:00.000000,159.0,125.0,고,0.0,9.0,9.0,664.0,2.302585092994046,0.0,0.6084750807294722,0.09890109890109894,21.760996345391266,고위험,83.18840785252348,군(농촌)
S130000450,전북특별자치도교육청,전북특별자치도교육청,전북특별자치도 정읍시,태인고등학교,사립,6,1,5,2025-02-24,2024-12-29 00:00:00.000000,184.0,127.0,고,0.0,4.0,4.0,123.0,1.6094379124341003,0.2,0.42530582981583853,0.16758241758241765,26.883993482823776,고위험,83.16352842352727,시(중소도시)
S100000775,강원특별자치도교육청,강원특별자치도동해교육지원청,강원특별자치도 동해시,예람중학교,공립,6,0,6,2025-02-20,2025-01-27 08:00:00.000000,154.0,131.0,중,0.0,10.0,10.0,523.0,2.3978952727983707,0.0,0.6336614981727328,0.0851648351648352,22.35863163750238,고위험,83.15915818350679,시(중소도시)
S040001965,인천광역시교육청,인천광역시서부교육지원청,인천광역시 서구,인천석남중학교,공립,6,0,6,2024-12-06,2024-11-20 16:00:00.000000,222.0,207.0,중,0.0,9.0,9.0,231.0,2.302585092994046,0.0,0.6084750807294722,0.271978021978022,24.70330403769896,고위험,83.1386729259827,구(대도시)
S110000903,충청북도교육청,충청북도청주교육지원청,충청북도 청주시 서원구,수곡중학교,공립,6,0,6,2025-02-24,2025-01-21 00:00:00.000000,161.0,127.0,중,0.0,10.0,10.0,461.0,2.3978952727983707,0.0,0.6336614981727328,0.10439560439560441,22.685554714425457,고위험,83.1344360452587,구(대도시)
S160003466,경상남도교육청,창원교육지원청,경상남도 창원시 진해구,진해냉천초등학교,공립,6,0,6,2025-02-24,2025-02-12 08:00:00.000000,138.0,127.0,초,0.0,9.0,9.0,999.0,2.302585092994046,0.0,0.6084750807294722,0.04120879120879123,20.780227114622036,고위험,83.12090845848815,구(대도시)
S150002197,경상북도교육청,경상북도성주교육지원청,경상북도 성주군,명인중학교,사립,6,1,5,2025-02-19,2024-12-16 19:12:00.000000,196.0,132.0,중,0.0,7.0,7.0,42.0,2.0794415416798357,0.2,0.5495077527409008,0.20054945054945061,31.543096499790384,고위험,83.06774962350083,군(농촌)
S070000736,울산광역시교육청,울산광역시교육청,울산광역시 울주군,온산고등학교,공립,6,0,6,2025-02-26,2025-02-09 16:00:00.000000,141.0,125.0,고,0.0,12.0,12.0,375.0,2.5649493574615367,0.0,0.6778067712229614,0.04945054945054944,23.20828279101707,고위험,82.97397053608803,군(농촌)
S090004965,경기도교육청,경기도용인교육지원청,경기도 용인시 기흥구,성지초등학교,공립,6,1,5,2025-02-25,2024-12-20 09:36:00.000000,192.0,126.0,초,0.0,6.0,6.0,55.0,1.9459101490553132,0.2,0.5142210981219936,0.18956043956043955,30.191823710553255,고위험,82.97280843482437,구(대도시)
S120000130,충청남도교육청,충청남도교육청,충청남도 홍성군,홍성공업고등학교,공립,6,0,6,2025-02-18,2024-11-20 08:00:00.000000,222.0,133.0,고,0.0,11.0,11.0,142.0,2.4849066497880004,0.0,0.6566548958105609,0.271978021978022,26.293237935374886,고위험,82.96400119913184,군(농촌)
S140000423,전라남도교육청,전라남도고흥교육지원청,전라남도 고흥군,녹동초등학교,공립,6,0,6,2025-02-26,2024-12-22 12:00:00.000000,190.0,125.0,초,0.0,10.0,10.0,279.0,2.3978952727983707,0.0,0.6336614981727328,0.18406593406593408,24.039950318821063,고위험,82.86950781459197,군(농촌)
S040000761,인천광역시교육청,인천광역시서부교육지원청,인천광역시 서구,검암중학교,공립,6,0,6,2025-02-26,2025-02-19 00:00:00.000000,132.0,125.0,중,0.0,14.0,14.0,278.0,2.70805020110221,0.0,0.7156222237991322,0.02472527472527475,24.035863055701036,고위험,82.81807077403207,구(대도시)
