sido_key,sgg_key,match_key,학교수,위험도_평균,위험도_최대,고위험_학교수,미관리_평균,환경위험_평균,학생수_합
경기도,의정부시,경기도|의정부시,69,10.014273377423294,39.58030690026646,11,0.3333333333333333,1.6956521739130435,41887.0
경기도,이천시,경기도|이천시,58,17.396137676539233,54.46168371597789,14,0.896551724137931,2.4310344827586206,23543.0
경기도,파주시,경기도|파주시,106,15.909839504164138,59.03513761271763,23,0.6792452830188679,2.7830188679245285,56916.0
경기도,평택시,경기도|평택시,113,11.91292852406915,47.26487220681699,21,0.39823008849557523,2.575221238938053,61742.0
경기도,포천시,경기도|포천시,49,15.465306899797467,54.93884233097928,8,0.7346938775510204,1.7346938775510203,10543.0
경기도,하남시,경기도|하남시,46,9.419143597547944,30.234153054112607,12,0.13043478260869565,2.9347826086956523,37711.0
경기도,화성시,경기도|화성시,126,11.524107321837848,56.43503970140351,25,0.3253968253968254,2.5873015873015874,89284.0
경상남도,거제시,경상남도|거제시,69,14.342378698087893,45.52959787842818,24,0.4057971014492754,2.927536231884058,31560.0
경상남도,거창군,경상남도|거창군,33,22.668852711134353,47.53050647024371,11,1.0606060606060606,4.03030303030303,5926.0
경상남도,고성군,경상남도|고성군,31,13.497453801670094,33.21004968117894,5,0.7741935483870968,1.2258064516129032,3971.0
경상남도,김해시,경상남도|김해시,116,10.213032380274885,43.48901832341325,28,0.27586206896551724,2.3706896551724137,63947.0
경상남도,남해군,경상남도|남해군,28,16.384793752022958,44.09818299031994,7,0.7857142857142857,2.142857142857143,3010.0
경상남도,밀양시,경상남도|밀양시,40,15.916628923983671,33.39686286799213,15,0.475,3.475,7833.0
경상남도,사천시,경상남도|사천시,38,14.863421735777749,38.4606789173728,14,0.39473684210526316,3.3157894736842106,10906.0
경상남도,산청군,경상남도|산청군,24,16.92110992071463,40.9857797545093,10,0.75,3.0416666666666665,1876.0
경상남도,양산시,경상남도|양산시,69,9.588289088226464,33.39763353977049,14,0.17391304347826086,2.2318840579710146,40046.0
경상남도,의령군,경상남도|의령군,22,21.84204833110171,43.20828279101707,10,1.0,4.181818181818182,1342.0
경상남도,진주시,경상남도|진주시,89,13.987624393084973,54.06318681318682,26,0.43820224719101125,3.235955056179775,37255.0
경상남도,창녕군,경상남도|창녕군,36,22.169861109050192,41.985005263876005,19,0.75,4.972222222222222,4606.0
경상남도,창원시마산합포구,경상남도|창원시마산합포구,44,14.208727723619639,38.765975098709376,13,0.4318181818181818,2.75,17238.0
경상남도,창원시마산회원구,경상남도|창원시마산회원구,40,7.434641892941558,26.74513473069937,6,0.15,1.425,17201.0
경상남도,창원시성산구,경상남도|창원시성산구,55,6.6044268375613395,34.65785187898114,6,0.14545454545454545,1.0545454545454545,26843.0
경상남도,창원시의창구,경상남도|창원시의창구,50,11.503303481927043,40.32769374870144,15,0.28,2.9,20737.0
경상남도,창원시진해구,경상남도|창원시진해구,38,8.17483114085959,42.91393096384668,7,0.13157894736842105,2.4210526315789473,22051.0
경상남도,통영시,경상남도|통영시,39,10.445095079292733,34.67110034210803,7,0.48717948717948717,1.0512820512820513,12730.0
경상남도,하동군,경상남도|하동군,31,18.412893870648773,51.06044689484182,10,0.9354838709677419,2.3225806451612905,2123.0
경상남도,함안군,경상남도|함안군,30,17.66717158491881,42.99055233256772,8,0.9333333333333333,3.1333333333333333,5428.0
경상남도,함양군,경상남도|함양군,23,21.08259650399543,35.557692307692314,9,1.0,3.3043478260869565,2431.0
경상남도,합천군,경상남도|합천군,33,18.68209734170878,44.39199759869149,9,1.0,2.121212121212121,2048.0
경상북도,경산시,경상북도|경산시,58,11.651390344179767,30.78022711462204,16,0.29310344827586204,2.793103448275862,24287.0
경상북도,경주시,경상북도|경주시,82,10.046818543313924,48.92771188440578,12,0.47560975609756095,1.6585365853658536,22168.0
경상북도,고령군,경상북도|고령군,17,24.485524983120943,70.91082943970018,8,1.1176470588235294,5.294117647058823,1613.0
경상북도,구미시,경상북도|구미시,101,9.539572276962584,50.32769374870144,19,0.37623762376237624,1.6237623762376239,50459.0
경상북도,김천시,경상북도|김천시,54,15.5658545991084,60.70132012232781,18,0.5740740740740741,3.5925925925925926,13166.0
경상북도,문경시,경상북도|문경시,34,17.80354137928874,40.28099045199815,7,1.1470588235294117,2.0588235294117645,4943.0
경상북도,봉화군,경상북도|봉화군,25,18.688140230774206,50.111733161648885,8,0.76,4.84,1627.0
경상북도,상주시,경상북도|상주시,58,17.36393891752377,50.04824464026003,16,0.8793103448275862,2.9310344827586206,7497.0
경상북도,성주군,경상북도|성주군,24,15.42010172808894,42.65038079251774,6,0.8333333333333334,1.7916666666666667,2159.0
경상북도,안동시,경상북도|안동시,59,16.488699993067787,51.10715019154512,19,0.7457627118644068,2.6440677966101696,15508.0
경상북도,영덕군,경상북도|영덕군,22,16.838381346466797,31.72879264980034,3,0.8636363636363636,1.4090909090909092,1841.0
경상북도,영양군,경상북도|영양군,14,21.6784534388336,54.01648351648352,4,1.1428571428571428,2.9285714285714284,853.0
경상북도,영주시,경상북도|영주시,39,17.1184712894574,49.25463496132885,11,0.8461538461538461,2.8974358974358974,9036.0
경상북도,영천시,경상북도|영천시,41,13.937578880024741,44.03509238392268,9,0.7317073170731707,1.8048780487804879,6604.0
경상북도,예천군,경상북도|예천군,24,15.495058509290658,48.74089869759259,6,0.7083333333333334,3.0416666666666665,3726.0
경상북도,울릉군,경상북도|울릉군,6,29.227029457782297,54.69207738433591,2,2.0,3.5,380.0
경상북도,울진군,경상북도|울진군,27,10.983917042222757,40.93406593406594,3,0.6666666666666666,0.8148148148148148,3577.0
경상북도,의성군,경상북도|의성군,32,14.457160883949538,51.31270283143239,5,0.8125,1.28125,2137.0
경상북도,청도군,경상북도|청도군,22,14.155845894808424,32.592148121018866,8,0.45454545454545453,3.772727272727273,2621.0
경상북도,청송군,경상북도|청송군,22,20.899972231105803,46.353189695205074,4,1.1818181818181819,2.1363636363636362,1028.0
경상북도,칠곡군,경상북도|칠곡군,39,10.987111201022483,54.41961156174852,8,0.41025641025641024,1.6923076923076923,11200.0
경상북도,포항시남구,경상북도|포항시남구,52,12.293195469712677,62.5736918424214,13,0.36538461538461536,2.6346153846153846,20888.0
경상북도,포항시북구,경상북도|포항시북구,78,12.297776650908745,49.90813475015013,19,0.46153846153846156,2.576923076923077,28976.0
광주광역시,광산구,광주광역시|광산구,87,12.59422054767922,41.75148878035952,14,0.5402298850574713,1.7241379310344827,49358.0
광주광역시,남구,광주광역시|남구,56,15.986590256440797,43.723785944915214,16,0.625,2.9285714285714284,28858.0
광주광역시,동구,광주광역시|동구,22,19.17623376048311,38.974415181109066,8,0.7272727272727273,3.3636363636363638,8230.0
광주광역시,북구,광주광역시|북구,96,13.62201472677423,39.86177781847171,16,0.65625,1.59375,45736.0
광주광역시,서구,광주광역시|서구,53,14.11141453854209,40.71491495047959,10,0.6415094339622641,1.7735849056603774,25479.0
대구광역시,군위군,대구광역시|군위군,10,21.826428520776442,44.553686582557326,4,1.1,3.6,816.0
대구광역시,남구,대구광역시|남구,24,8.13805972396524,30.047473968481658,1,0.375,0.7083333333333334,10005.0
대구광역시,달서구,대구광역시|달서구,107,6.812523415750513,52.69631341744269,8,0.2897196261682243,0.8411214953271028,54516.0
대구광역시,달성군,대구광역시|달성군,60,9.345162000228191,35.812610140190145,7,0.48333333333333334,1.1833333333333333,30407.0
대구광역시,동구,대구광역시|동구,56,8.40397652654156,27.618768438727987,10,0.21428571428571427,1.8571428571428572,26910.0
대구광역시,북구,대구광역시|북구,78,6.432505022751602,32.696313417442674,6,0.20512820512820512,0.8333333333333334,38434.0
대구광역시,서구,대구광역시|서구,31,6.467876745379095,33.59692451793221,2,0.22580645161290322,0.8064516129032258,11920.0
대구광역시,수성구,대구광역시|수성구,74,8.658209183300091,57.83190916464345,13,0.25675675675675674,1.6756756756756757,49173.0
대구광역시,중구,대구광역시|중구,19,10.636630321125224,26.558321543886176,0,0.631578947368421,0.5263157894736842,10599.0
대전광역시,대덕구,대전광역시|대덕구,38,8.386453395826406,33.11487619761048,9,0.10526315789473684,2.236842105263158,13440.0
대전광역시,동구,대전광역시|동구,44,7.647607960599145,43.61553338537136,7,0.1590909090909091,2.159090909090909,17945.0
대전광역시,서구,대전광역시|서구,87,7.051876257026961,30.047473968481658,15,0.11494252873563218,1.896551724137931,48439.0
대전광역시,유성구,대전광역시|유성구,78,6.261381498470806,27.156109424838977,14,0.038461538461538464,1.8717948717948718,40667.0
대전광역시,중구,대전광역시|중구,55,10.108944402793327,30.047473968481658,15,0.18181818181818182,2.8545454545454545,23436.0
부산광역시,강서구,부산광역시|강서구,34,8.726334599316043,37.21293836951069,9,0.17647058823529413,1.5,18161.0
부산광역시,금정구,부산광역시|금정구,47,9.389313600275994,33.2240688160842,14,0.1276595744680851,2.276595744680851,19840.0
부산광역시,기장군,부산광역시|기장군,35,5.431766294661673,27.40498209692688,4,0.02857142857142857,1.2857142857142858,21180.0
부산광역시,남구,부산광역시|남구,48,4.728890718919119,32.00836257666148,5,0.041666666666666664,1.0416666666666667,23309.0
부산광역시,동구,부산광역시|동구,16,13.65607818482067,58.69419540088929,6,0.4375,2.4375,5988.0
부산광역시,동래구,부산광역시|동래구,50,6.914647303325122,38.65061491934447,8,0.12,1.02,29286.0
부산광역시,부산진구,부산광역시|부산진구,65,9.509533151474697,36.19433683647378,13,0.23076923076923078,1.9846153846153847,29492.0
부산광역시,북구,부산광역시|북구,51,6.78212154413766,28.987663644235965,10,0.058823529411764705,1.0588235294117647,21108.0
부산광역시,사상구,부산광역시|사상구,36,5.219308540846409,20.842547049240935,3,0.05555555555555555,0.6944444444444444,11510.0
부산광역시,사하구,부산광역시|사하구,56,6.154967624361329,25.68609507823203,8,0.16071428571428573,0.9464285714285714,24377.0
부산광역시,서구,부산광역시|서구,23,10.895962336200808,46.19906067018994,4,0.4782608695652174,1.173913043478261,8186.0
부산광역시,수영구,부산광역시|수영구,20,6.26249167042413,23.39561173000665,5,0.0,1.55,10684.0
부산광역시,연제구,부산광역시|연제구,28,6.9640779542103575,30.00077067177837,2,0.17857142857142858,0.9642857142857143,15813.0
부산광역시,영도구,부산광역시|영도구,28,4.965796054243641,16.74513473069936,2,0.14285714285714285,0.5,7194.0
부산광역시,중구,부산광역시|중구,9,11.290770365927067,21.35439560439561,2,0.5555555555555556,1.2222222222222223,2680.0
부산광역시,해운대구,부산광역시|해운대구,64,7.3496067468756285,35.99865265522498,12,0.078125,1.59375,35183.0
서울특별시,강남구,서울특별시|강남구,75,11.570811129478983,42.38186813186813,18,0.4533333333333333,2.066666666666667,56836.0
